id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
153,202,262000000,Y,Y,723,Gold,17,Tue,7.6,5/23/2017,,
154,2,13000000,Y,Y,199,Silver,17,Tue,8.5,5/23/2017,,
155,1,5000,Y,N,333,Gold,17,Wed,7.4,5/24/2017,,
156,1,751000,Y,N,908,Gold,17,Thu,7.6,5/25/2017,,
157,2,82000,Y,Y,60,Bronze,17,Fri,7.6,5/26/2017,,
158,2,65000000,Y,N,26,Bronze,17,Fri,8.2,5/26/2017,,
159,1,30000,Y,N,37,Bronze,17,Sat,7.6,5/27/2017,,
160,512,5000000000,Y,Y,131,Silver,18,Sun,5.9,6/4/2017,,
161,2,12000,Y,N,156,Bronze,18,Mon,8.2,6/5/2017,,
162,1,490000,Y,N,44,Bronze,18,Wed,10,6/7/2017,,
163,19,12000000,Y,N,214,Bronze,18,Fri,7.1,6/9/2017,,
164,1,126000,Y,N,168,Gold,18,Fri,8.2,6/9/2017,,
165,1,4000,Y,N,188,Silver,18,Sun,8.2,6/11/2017,,
166,1,11000,Y,N,140,Bronze,18,Sun,8.2,6/11/2017,,
167,1,907,Y,N,44,Bronze,18,Wed,7.1,6/14/2017,,
168,74,184000000,Y,Y,155,Silver,18,Fri,7.6,6/16/2017,,
169,20,936000,Y,N,12,No Medal,18,Fri,8.2,6/16/2017,,
170,1,4000,Y,N,48,Bronze,18,Wed,7.4,6/21/2017,,
171,8,53000000,Y,Y,127,Silver,18,Fri,7.6,6/23/2017,,
172,1,49000000,N,Y,234,Silver,18,Sun,8.2,6/25/2017,,
173,1,243000,Y,N,47,Bronze,18,Tue,8.8,6/27/2017,,
174,4,3000000,Y,N,76,Bronze,18,Thu,9.7,6/29/2017,,
175,1,34000000,N,Y,44,No Medal,19,Fri,8.8,7/7/2017,,
176,4,18000,Y,N,19,No Medal,19,Sun,5.9,7/9/2017,,
177,2,14000000,Y,N,154,Silver,19,Tue,8.2,7/11/2017,,
178,1,35000,Y,N,10,No Medal,19,Wed,8.2,7/12/2017,,
179,9,3000000,Y,Y,375,Gold,19,Fri,8.8,7/14/2017,,
180,2,719000,Y,N,126,Silver,19,Fri,8.5,7/14/2017,,
181,3,15000,Y,N,73,Bronze,19,Fri,8.2,7/14/2017,,
182,1,3000000,Y,N,40,Bronze,19,Fri,4.7,7/14/2017,,
183,11,85000,Y,N,44,Bronze,19,Fri,8.2,7/14/2017,,
184,1,11000000,Y,N,98,Bronze,19,Mon,7.1,7/17/2017,,
185,1,467000,Y,N,57,Bronze,19,Tue,8.2,7/18/2017,,
186,1,2000000,Y,N,94,Bronze,19,Wed,8.2,7/19/2017,,
187,1,5000000,Y,N,347,Gold,19,Sat,8.5,7/22/2017,,
188,1,1000000,Y,N,259,Silver,19,Sun,10,7/23/2017,,
189,2,291000,Y,N,28,No Medal,19,Mon,7.1,7/24/2017,,
190,1,17000000,Y,N,31,No Medal,19,Tue,7.1,7/25/2017,,
191,1,6000000,N,Y,133,Silver,19,Wed,8.8,7/26/2017,,
192,10,898000,Y,Y,20,No Medal,19,Wed,8.2,7/26/2017,,
193,21,27000000,Y,Y,126,Bronze,19,Thu,8.2,7/27/2017,,
194,3,82000,Y,N,24,Bronze,19,Thu,8.5,7/27/2017,,
195,82,18000000,Y,Y,42,Bronze,19,Fri,7.6,7/28/2017,,
196,19,23000,N,Y,89,Silver,19,Fri,8.8,7/28/2017,,
197,17,84000,Y,Y,11,No Medal,19,Fri,8.2,7/28/2017,,
198,1,45000000,N,Y,26,Bronze,19,Mon,8.8,7/31/2017,,
199,17,1000000,Y,N,184,Bronze,20,Tue,8.5,8/1/2017,,
200,2,182000,Y,Y,21,No Medal,20,Tue,8.2,8/1/2017,,
201,4,7000000,Y,N,40,Bronze,20,Wed,8.2,8/2/2017,,
202,1,13000,Y,N,493,Gold,20,Thu,8.2,8/3/2017,,
203,1,999,Y,N,49,No Medal,20,Thu,7.6,8/3/2017,,
204,1,5000,Y,N,10,No Medal,20,Thu,7.1,8/3/2017,,
205,1,127000000,Y,N,135,Bronze,20,Thu,8.2,8/3/2017,,
206,1,4000000,Y,N,175,Silver,20,Fri,8.5,8/4/2017,,
207,2,351000,Y,N,73,Bronze,20,Fri,8.8,8/4/2017,,
208,1,101000,Y,N,392,Gold,20,Sat,7.4,8/5/2017,,
209,3,480000000,N,Y,237,Gold,20,Sat,8.8,8/5/2017,,
210,2,192000,Y,N,305,Silver,20,Sat,8.2,8/5/2017,,
211,6,987000,Y,N,59,Bronze,20,Sat,8.5,8/5/2017,,
212,1,3000,Y,N,139,Bronze,20,Sun,5.3,8/6/2017,,
213,4,4000000,Y,N,158,Silver,20,Mon,8.8,8/7/2017,,
214,1,375000,Y,N,44,Bronze,20,Mon,8.2,8/7/2017,,
215,2,25000,Y,N,46,Bronze,20,Mon,8.2,8/7/2017,,
216,2,4000000,N,Y,53,Bronze,20,Tue,8.8,8/8/2017,,
217,3,1000000,Y,N,250,Silver,20,Wed,8.2,8/9/2017,,
218,1,1000000000,N,Y,79,Bronze,20,Wed,7.5,8/9/2017,,
219,54,1000000,Y,N,244,Silver,20,Thu,7.6,8/10/2017,,
220,1,32000,Y,N,32,No Medal,20,Thu,8.2,8/10/2017,,
221,1,4000,Y,N,29,Bronze,20,Thu,6.5,8/10/2017,,
222,4,5000000,Y,Y,84,Bronze,20,Thu,5.9,8/10/2017,,
223,2,17000000,Y,N,32,Bronze,20,Thu,8.2,8/10/2017,,
224,3,52000000,Y,N,66,Bronze,20,Fri,7.9,8/11/2017,,
225,1,31000,Y,N,986,Gold,20,Sat,7.6,8/12/2017,,
226,5,23000,Y,N,298,Silver,20,Mon,8.5,8/14/2017,,
227,6,901000,Y,N,204,Silver,20,Mon,8.2,8/14/2017,,
228,1,30000,Y,N,121,Bronze,20,Tue,7.6,8/15/2017,,
229,1,5000000,Y,N,75,Bronze,20,Tue,8.2,8/15/2017,,
230,10,96000000,N,Y,87,Bronze,20,Tue,8.8,8/15/2017,,
231,2,13000,Y,N,432,Gold,20,Wed,8.5,8/16/2017,,
232,1,304000000,Y,N,127,Silver,20,Wed,8.2,8/16/2017,,
233,1,8000000,Y,N,1377,Gold,20,Thu,7.1,8/17/2017,,
234,4,838000000,Y,N,227,Silver,20,Thu,7.6,8/17/2017,,
235,1,81000,Y,N,111,Bronze,20,Fri,7.1,8/18/2017,,
236,1,4000,Y,N,35,Bronze,20,Fri,8.2,8/18/2017,,
237,948,301000000,Y,N,94,Bronze,20,Sat,7.1,8/19/2017,,
238,2,2000000,Y,Y,53,Bronze,20,Sat,8.2,8/19/2017,,
239,1,6000000,Y,N,28,No Medal,20,Sat,8.2,8/19/2017,,
240,1,680,Y,N,17,No Medal,20,Sat,7.1,8/19/2017,,
241,3,255000000,Y,N,534,Gold,20,Sun,7.4,8/20/2017,,
242,1,16000000,Y,N,19,No Medal,20,Sun,4.7,8/20/2017,,
243,1,118000,Y,N,18,No Medal,20,Sun,3.5,8/20/2017,,
244,1,3000000,Y,N,931,Gold,20,Mon,7.1,8/21/2017,,
245,1,47000000,Y,N,525,Gold,20,Tue,8.2,8/22/2017,,
246,2,345000,Y,N,100,Bronze,20,Tue,8.5,8/22/2017,,
247,1,71000,Y,N,82,Bronze,20,Wed,8.2,8/23/2017,,
248,4,15000000,Y,N,151,Bronze,20,Wed,8.5,8/23/2017,,
249,2,53000000,Y,N,281,Gold,20,Thu,8.5,8/24/2017,,
250,1,515000,Y,N,29,Bronze,20,Thu,8.2,8/24/2017,,
251,1,5000000,Y,N,307,Silver,20,Fri,8.8,8/25/2017,,
252,1,14000000,Y,N,174,Silver,20,Sun,7.1,8/27/2017,,
253,8,26000,Y,N,57,Bronze,20,Sun,8.2,8/27/2017,,
254,1,42000000,N,Y,6,No Medal,20,Sun,6.9,8/27/2017,,
255,2,9000000,Y,N,173,Silver,20,Mon,8.2,8/28/2017,,
256,1,56000,Y,N,38,Bronze,20,Tue,8.5,8/29/2017,,
257,1,9000,Y,N,491,Gold,20,Thu,8.2,8/31/2017,,
258,1,5000,Y,N,97,Bronze,21,Fri,8.2,9/1/2017,,
259,3,3000000,Y,N,863,Gold,21,Fri,8.2,9/1/2017,,
260,76,5000000,Y,N,423,Gold,21,Fri,7.6,9/1/2017,,
261,6,12000000,Y,Y,400,Gold,21,Sat,8.2,9/2/2017,,
